Source,Dataset,Element,Field Name,Occurrence Count,Accounts,Attributes,Risk Created,Risk Score,Last Changed,Sensitive Records Count,Last Modified,File Size (in bytes),Row Count
mysql,student.customer_phone,john@gmail.com,email,3,,,,0,2025-05-09T07:27:35.871+00:00,6,,,3
mysql,student.customer_phone,jacob@outlook.com,phone,3,,,,0,2025-05-09T07:27:35.871+00:00,6,,,3
mysql,student.customer_record,nathan@outlook.com,description,38531,,,,0,2025-05-09T07:27:36.893+00:00,77062,,,38531
mysql,student.customer_record,ram@gmail.com,CustomerEmail,38531,,,,0,2025-05-09T07:27:36.893+00:00,77062,,,38531
mysql,student.customer_record,paul@gmail.com,CustomerEmail,38531,,,,0,2025-05-09T07:27:36.893+00:00,77062,,,38531
mysql,student.customer_record,Chirs@gmail.com,CustomerEmail,38531,,,,0,2025-05-09T07:27:36.893+00:00,77062,,,38531
mysql,student.customer_record,deepak@gmail.com,CustomerEmail,38531,,,,0,2025-05-09T07:27:36.893+00:00,77062,,,38531
mysql,student.customer_record,amitabh@gmail.com,CustomerEmail,38531,,,,0,2025-05-09T07:27:36.893+00:00,77062,,,38531
mysql,student.customer_record,shahrukh@gmail.com,CustomerEmail,38531,,,,0,2025-05-09T07:27:36.893+00:00,77062,,,38531
mysql,student.customer_record,vijay@gmail.com,CustomerEmail,38531,,,,0,2025-05-09T07:27:36.893+00:00,77062,,,38531
